Depth :29 Time :30
Depth :29 Time :3
Depth :29 Time :7
Depth :29 Time :1
Depth :29 Time :14
Depth :29 Time :1
Depth :29 Time :39
Depth :29 Time :3
Depth :29 Time :42
Depth :29 Time :5
Depth :29 Time :1
Depth :29 Time :2
Depth :29 Time :1
Depth :29 Time :521
Depth :29 Time :523
Depth :29 Time :147
Depth :29 Time :199
Depth :29 Time :52
Depth :29 Time :17
Depth :29 Time :2
Depth :29 Time :4
Depth :29 Time :1
Depth :29 Time :1
Depth :29 Time :78
Depth :29 Time :1
Depth :29 Time :1
Depth :29 Time :13
Depth :29 Time :4
Depth :29 Time :1
Depth :29 Time :12
Depth :29 Time :43
Depth :29 Time :4
Depth :29 Time :19
Depth :29 Time :2
Depth :29 Time :1
Depth :29 Time :3
Depth :29 Time :2
Depth :29 Time :9
Depth :29 Time :499
Depth :29 Time :488
Depth :29 Time :517
Depth :29 Time :516
Depth :29 Time :44
Depth :29 Time :11
Depth :29 Time :4
Depth :29 Time :3
Depth :29 Time :9
Depth :29 Time :2
Depth :29 Time :1
Depth :29 Time :86
Depth :29 Time :68
Depth :29 Time :1
Depth :29 Time :67
Depth :29 Time :14
Depth :29 Time :1
Depth :29 Time :8
Depth :29 Time :3
Depth :29 Time :8
Depth :29 Time :1
Depth :29 Time :2
Depth :29 Time :2
Depth :29 Time :1
Depth :29 Time :13
Depth :29 Time :2
Depth :29 Time :15
Depth :29 Time :1
Depth :29 Time :4
Depth :29 Time :491
Depth :29 Time :485
Depth :29 Time :487
Depth :29 Time :503
Depth :29 Time :495
