experiment,graph,skeleton,nodes,hpx_threads,workers,spawn_depth,backtrack_budget,run,timeout,wall_ms,cpu_ms,vc_size,exit_code,log_file
PAR,brock200_1.clq,budget,2,32,62,5,10000000,1,120m,10955,9882,179,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_1.clq.ywp.budget.n2.t32.r1.log
PAR,brock200_1.clq,budget,4,32,124,5,10000000,1,120m,11006,9900,179,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_1.clq.ywp.budget.n4.t32.r1.log
PAR,brock200_1.clq,budget,8,32,248,5,10000000,1,120m,11308,9906,179,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_1.clq.ywp.budget.n8.t32.r1.log
PAR,brock200_1.clq,stacksteal,1,32,31,5,10000000,1,120m,833,301,179,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_1.clq.ywp.stacksteal.n1.t32.r1.log
PAR,brock200_1.clq,stacksteal,2,32,62,5,10000000,1,120m,1239,290,179,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_1.clq.ywp.stacksteal.n2.t32.r1.log
PAR,brock200_1.clq,stacksteal,4,32,124,5,10000000,1,120m,1738,324,179,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_1.clq.ywp.stacksteal.n4.t32.r1.log
PAR,brock200_1.clq,stacksteal,8,32,248,5,10000000,1,120m,1252,269,179,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_1.clq.ywp.stacksteal.n8.t32.r1.log
PAR,brock200_2.clq,depthbounded,1,32,31,5,10000000,1,120m,709,218,188,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_2.clq.ywp.depthbounded.n1.t32.r1.log
PAR,brock200_2.clq,depthbounded,2,32,62,5,10000000,1,120m,1215,298,188,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_2.clq.ywp.depthbounded.n2.t32.r1.log
PAR,brock200_2.clq,depthbounded,4,32,124,5,10000000,1,120m,1250,305,188,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_2.clq.ywp.depthbounded.n4.t32.r1.log
PAR,brock200_2.clq,depthbounded,8,32,248,5,10000000,1,120m,1722,316,188,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_2.clq.ywp.depthbounded.n8.t32.r1.log
PAR,brock200_2.clq,budget,1,32,31,5,10000000,1,120m,691,210,188,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_2.clq.ywp.budget.n1.t32.r1.log
PAR,brock200_2.clq,budget,2,32,62,5,10000000,1,120m,1192,262,188,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_2.clq.ywp.budget.n2.t32.r1.log
PAR,brock200_2.clq,budget,4,32,124,5,10000000,1,120m,1204,270,188,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_2.clq.ywp.budget.n4.t32.r1.log
PAR,brock200_2.clq,budget,8,32,248,5,10000000,1,120m,1250,282,188,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_2.clq.ywp.budget.n8.t32.r1.log
PAR,brock200_2.clq,stacksteal,1,32,31,5,10000000,1,120m,535,39,188,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_2.clq.ywp.stacksteal.n1.t32.r1.log
PAR,brock200_2.clq,stacksteal,2,32,62,5,10000000,1,120m,952,47,188,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_2.clq.ywp.stacksteal.n2.t32.r1.log
PAR,brock200_2.clq,stacksteal,4,32,124,5,10000000,1,120m,977,48,188,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_2.clq.ywp.stacksteal.n4.t32.r1.log
PAR,brock200_2.clq,stacksteal,8,32,248,5,10000000,1,120m,985,68,188,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_2.clq.ywp.stacksteal.n8.t32.r1.log
PAR,brock200_3.clq,depthbounded,1,32,31,5,10000000,1,120m,1327,836,185,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_3.clq.ywp.depthbounded.n1.t32.r1.log
PAR,brock200_3.clq,depthbounded,2,32,62,5,10000000,1,120m,1852,911,185,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_3.clq.ywp.depthbounded.n2.t32.r1.log
PAR,brock200_3.clq,depthbounded,4,32,124,5,10000000,1,120m,1878,919,185,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_3.clq.ywp.depthbounded.n4.t32.r1.log
PAR,brock200_3.clq,depthbounded,8,32,248,5,10000000,1,120m,1924,925,185,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_3.clq.ywp.depthbounded.n8.t32.r1.log
PAR,brock200_3.clq,budget,1,32,31,5,10000000,1,120m,1851,1324,185,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_3.clq.ywp.budget.n1.t32.r1.log
PAR,brock200_3.clq,budget,2,32,62,5,10000000,1,120m,2332,1378,185,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_3.clq.ywp.budget.n2.t32.r1.log
PAR,brock200_3.clq,budget,4,32,124,5,10000000,1,120m,2710,1390,185,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_3.clq.ywp.budget.n4.t32.r1.log
PAR,brock200_3.clq,budget,8,32,248,5,10000000,1,120m,2386,1397,185,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_3.clq.ywp.budget.n8.t32.r1.log
PAR,brock200_3.clq,stacksteal,1,32,31,5,10000000,1,120m,613,65,185,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_3.clq.ywp.stacksteal.n1.t32.r1.log
PAR,brock200_3.clq,stacksteal,2,32,62,5,10000000,1,120m,1017,79,185,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_3.clq.ywp.stacksteal.n2.t32.r1.log
PAR,brock200_3.clq,stacksteal,4,32,124,5,10000000,1,120m,1057,83,185,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_3.clq.ywp.stacksteal.n4.t32.r1.log
PAR,brock200_3.clq,stacksteal,8,32,248,5,10000000,1,120m,1088,101,185,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_3.clq.ywp.stacksteal.n8.t32.r1.log
PAR,brock200_4.clq,depthbounded,1,32,31,5,10000000,1,120m,1890,1368,183,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_4.clq.ywp.depthbounded.n1.t32.r1.log
PAR,brock200_4.clq,depthbounded,2,32,62,5,10000000,1,120m,2376,1422,183,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_4.clq.ywp.depthbounded.n2.t32.r1.log
PAR,brock200_4.clq,depthbounded,4,32,124,5,10000000,1,120m,2406,1438,183,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_4.clq.ywp.depthbounded.n4.t32.r1.log
PAR,brock200_4.clq,depthbounded,8,32,248,5,10000000,1,120m,2426,1445,183,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_4.clq.ywp.depthbounded.n8.t32.r1.log
PAR,brock200_4.clq,budget,1,32,31,5,10000000,1,120m,2355,1825,183,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_4.clq.ywp.budget.n1.t32.r1.log
PAR,brock200_4.clq,budget,2,32,62,5,10000000,1,120m,3249,1877,183,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_4.clq.ywp.budget.n2.t32.r1.log
